LCSC Part Number,Manufacture Part Number,Manufacturer,Customer NO.,Package,Description,RoHS,Quantity,Unit Price(€),Ext.Price(€),Estimated lead time (business days),Date Code / Lot No.,Status
C730123,STM32G474CBT6,ST,U1,LQFP-48(7x7),170MHz 38 LQFP-48(7x7) Microcontrollers RoHS,YES,2,3.5769,7.15,,,-
C67274,IRLML0060TRPBF,Infineon,"Q2,Q3",SOT-23,"60V 2.7A 92mΩ@10V 1.25W 2.5V 1 N-Channel SOT-23 Single FETs, MOSFETs RoHS",YES,5,0.1157,0.58,,,-
C25804,0603WAF1002T5E,UNI-ROYAL,"R1,R2,R9,R10,R11,R12,R14,R18",0603,100mW 10kΩ 75V ±100ppm/℃ Thick Film Resistor ±1% 0603 Chip Resistor - Surface Mount RoHS,YES,100,0.0009,0.09,,,-
C57572,1206W4F604JT5E,UNI-ROYAL,"R3,R4,R5,R6",1206,250mW 60.4Ω 200V ±100ppm/℃ Thick Film Resistor ±1% 1206 Chip Resistor - Surface Mount RoHS,YES,100,0.003,0.30,,,-
C23186,0603WAF5101T5E,UNI-ROYAL,"R7,R8,R15,R16,R17,R19",0603,100mW 5.1kΩ 75V ±100ppm/℃ Thick Film Resistor ±1% 0603 Chip Resistor - Surface Mount RoHS,YES,100,0.001,0.10,,,-
C21190,0603WAF1001T5E,UNI-ROYAL,R13,0603,100mW 1kΩ 75V ±100ppm/℃ Thick Film Resistor ±1% 0603 Chip Resistor - Surface Mount RoHS,YES,100,0.001,0.10,,,-
C25803,0603WAF1003T5E,UNI-ROYAL,R20,0603,100mW 100kΩ 75V ±100ppm/℃ Thick Film Resistor ±1% 0603 Chip Resistor - Surface Mount RoHS,YES,100,0.001,0.10,,,-
C23138,0603WAF3300T5E,UNI-ROYAL,"R21,R22,R23,R24,R25,R30",0603,100mW 330Ω 75V ±100ppm/℃ Thick Film Resistor ±1% 0603 Chip Resistor - Surface Mount RoHS,YES,100,0.001,0.10,,,-
C455262,TS-1087S-01526,XUNPU,SW1,"SMD,5.2x5.2mm","Without Bracket 5.2mm 12V 5.2mm Round Button SPST 50mA SMD,5.2x5.2mm Tactile Switches RoHS",YES,20,0.0308,0.62,,,-
C15850,CL21A106KAYNNNE,Samsung Electro-Mechanics,"C5,C17,C19,C20,C21,C23,C28",0805,25V 10uF X5R ±10% 0805 Ceramic Capacitors RoHS,YES,20,0.0098,0.20,,,-
C38695,TJA1051T/3/1J,NXP,"U2,U3",SOIC-8-150mil,"CAN FD Transceiver 110mA 4.5V~5.5V SOIC-8-150mil Drivers, Receivers, Transceivers RoHS",YES,4,0.4347,1.74,,,-
C2977777,CH340N,WCH,U4,SOP-8,USB to serial USB 2.0 SOP-8 Interface Controllers RoHS,YES,2,0.4591,0.92,,,-
C2071056,AP63205WU-7,DIODES,U5,TSOT-23-6,1.1MHz 2A Buck Fixed 5V 1 TSOT-23-6 Voltage Regulators - DC DC Switching Regulators RoHS,YES,2,0.3232,0.65,,,-
C35879,LD1117S33CTR,ST,U6,SOT-223-4,"75dB@(120Hz) Positive Fixed 3.3V SOT-223-4 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators RoHS",YES,5,0.1029,0.51,,,-
